Router1,Router2,Cost,Capacity
ADILABAD-PE-02,HYDERABAD-PP-02,0.351,10
ADILABAD-PE-02,NAGPUR-PP-03,0.024,10
ADILABAD-PE-02,SECUNDERABAD-PP-01,0.311,10
AGARTALA-PE-02,GUWAHATI-PP-02,0.012,2.5
AGARTALA-PP-01,GUWAHATI-PP-02,0.734666667,15
AGARTALA-PP-01,KOLKATA-PP-04,0.907,10
AGRA-PE-02,AGRA-PP-02,0.958,10
AGRA-PE-02,NEWDELHI-PP-05,0.44,10
AGRA-PE-03,AGRA-PP-02,0.367,10
AGRA-PE-03,NEWDELHI-PP-06,0.251,10
AGRA-PE-04,AGRA-PP-02,0.062272727,110
AGRA-PE-04,NOIDA-PP-02,0,10
AGRA-PP-02,JAIPUR-PP-02,0.009,20
AGRA-PP-02,JHANSI-PP-01,0.358,20
AGRA-PP-02,LUCKNOW-PP-03,0.4875,20
AGRA-PP-02,LUCKNOW-PP-04,0.076,20
AGRA-PP-02,MORADABAD-PP-01,0.21575,40
AGRA-PP-02,NEWDELHI-PP-03,0.638,30
AGRA-PP-02,NEWDELHI-PP-04,0.6128,50
AHMEDABAD-GSMPE-01,AHMEDABAD-PP-02,0.257,100
AHMEDABAD-GSMPE-01,SURAT-PP-01,0,50
AHMEDABAD-GSMPE-02,AHMEDABAD-PP-02,0.1262,100
AHMEDABAD-GSMPE-02,SURAT-PP-01,0,50
AHMEDABAD-GSMPE-03,AHMEDABAD-PP-02,0.038,30
AHMEDABAD-GSMPE-03,SURAT-PP-01,0,10
AHMEDABAD-MCR-01,AHMEDABAD-PP-02,0.0795,20
AHMEDABAD-MCR-02,AHMEDABAD-PP-02,0.09,10
AHMEDABAD-MCR-02,MUMBAI-PP-06,0.019,10
AHMEDABAD-PE-04,AHMEDABAD-PP-02,0.144,20
AHMEDABAD-PE-04,MUMBAI-PP-07,0.063,10
AHMEDABAD-PE-05,AHMEDABAD-PP-02,0.236,10
AHMEDABAD-PE-05,SURAT-PP-01,0.133,10
AHMEDABAD-PE-06,AHMEDABAD-PP-02,0.5195,40
AHMEDABAD-PE-07,AHMEDABAD-PP-02,0.5085,20
AHMEDABAD-PE-07,MUMBAI-PP-07,0.578,10
AHMEDABAD-PE-08,AHMEDABAD-PP-02,0.3477,100
AHMEDABAD-PE-08,SURAT-PP-01,0.001,10
AHMEDABAD-PE-09,AHMEDABAD-PP-02,0.0383,200
AHMEDABAD-PE-09,SURAT-PP-01,0,20
AHMEDABAD-PP-01,AHMEDABAD-PP-02,0.04875,40
AHMEDABAD-PP-02,BHOPAL-PP-02,0.73,10
AHMEDABAD-PP-02,DHULE-PP-01,0.087,10
AHMEDABAD-PP-02,INDORE-PP-02,0.226333333,30
AHMEDABAD-PP-02,JAIPUR-PP-02,0.267,20
