S.NO    City_Id     City_Name             Degree    Adjacent_Edges                                              
1       1           ADILABAD-PE-02        3         1 2 3                                                       
2       2           AGARTALA-PE-02        1         4                                                           
3       3           AGARTALA-PP-01        2         5 6                                                         
4       4           AGRA-PE-02            2         7 8                                                         
5       5           AGRA-PE-03            2         9 10                                                        
6       6           AGRA-PE-04            2         11 12                                                       
7       7           AGRA-PP-02            22        13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
8       8           AHMEDABAD-GSMPE-01    2         35 36                                                       
9       9           AHMEDABAD-GSMPE-02    2         37 38                                                       
10      10          AHMEDABAD-GSMPE-03    2         39 40                                                       
11      11          AHMEDABAD-MCR-01      1         41                                                          
12      12          AHMEDABAD-MCR-02      2         42 43                                                       
13      13          AHMEDABAD-PE-04       2         44 45                                                       
14      14          AHMEDABAD-PE-05       2         46 47                                                       
15      15          AHMEDABAD-PE-06       1         48                                                          
16      16          AHMEDABAD-PE-07       2         49 50                                                       
17      17          AHMEDABAD-PE-08       2         51 52                                                       
18      18          AHMEDABAD-PE-09       2         53 54                                                       
19      19          AHMEDABAD-PP-01       1         55                                                          
20      20          AHMEDABAD-PP-02       43        56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98
21      21          AHMEDNAGAR-PE-01      2         99 100                                                      
22      22          AHMEDNAGAR-PE-02      4         101 102 103 104                                             
23      23          AIZAWL-PE-01          2         105 106                                                     
24      24          AJMER-PE-02           2         107 108                                                     
25      25          AJMER-PE-03           2         109 110                                                     
26      26          AKOLA-PE-01           2         111 112                                                     
27      27          ALAPPUZHA-PE-01       2         113 114                                                     
28      28          ALAPPUZHA-PE-02       2         115 116                                                     
29      29          ALLAHABAD-PE-02       3         117 118 119                                                 
30      30          ALLAHABAD-PE-03       5         120 121 122 123 124                                         
31      31          ALMORA-PE-01          3         125 126 127                                                 
32      32          ALWAR-PE-02           3         128 129 130                                                 
33      33          ALWAR-PE-03           3         131 132 133                                                 
34      34          AMARAVATI-PE-01       2         134 135                                                     
35      35          AMARAVATI-PE-02       2         136 137                                                     
36      36          AMBALA-GSMPE-01       3         138 139 140                                                 
37      37          AMBALA-GSMPE-02       2         141 142                                                     
38      38          AMBALA-MCR-01         1         143                                                         
39      39          AMBALA-PE-02          2         144 145                                                     
40      40          AMBALA-PE-03          2         146 147                                                     
41      41          AMBALA-PE-04          2         148 149                                                     
42      42          AMBALA-PP-01          23        150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172
43      43          AMRITSAR-PE-02        2         173 174                                                     
44      44          AMRITSAR-PE-03        2         175 176                                                     
45      45          ANAND-PE-02           2         177 178                                                     
46      46          ANAND-PE-03           2         179 180                                                     
47      47          ANANTAPUR-PE-02       1         181                                                         
48      48          ANANTAPUR-PE-03       4         182 183 184 185                                             
49      49          ANGUL-PE-01           2         186 187                                                     
50      50          ARAH-PE-01            2         188 189                                                     
51      51          ASANSOL-PE-01         1         190                                                         
52      52          AURANGABAD-PE-02      3         191 192 193                                                 
53      53          AURANGABAD-PE-03      3         194 195 196                                                 
54      54          AZAMGARH-PE-01        3         197 198 199                                                 
55      55          BALASORE-PE-01        3         200 201 202                                                 
56      56          BALASORE-PE-02        2         203 204                                                     
57      57          BANGALORE-GSMPE-01    2         205 206                                                     
58      58          BANGALORE-GSMPE-02    2         207 208                                                     
59      59          BANGALORE-IGW-04      1         209                                                         
60      60          BANGALORE-IGW-05      1         210                                                         
61      61          BANGALORE-IGWPE-04    2         211 212                                                     
62      62          BANGALORE-IGWPE-05    2         213 214                                                     
63      63          BANGALORE-MCR-01      1         215                                                         
64      64          BANGALORE-MCR-02      2         216 217                                                     
65      65          BANGALORE-PE-02       1         218                                                         
66      66          BANGALORE-PE-03       1         219                                                         
67      67          BANGALORE-PE-04       1         220                                                         
68      68          BANGALORE-PE-05       2         221 222                                                     
69      69          BANGALORE-PE-06       2         223 224                                                     
70      70          BANGALORE-PE-07       1         225                                                         
71      71          BANGALORE-PE-08       1         226                                                         
72      72          BANGALORE-PE-11       1         227                                                         
73      73          BANGALORE-PE-12       1         228                                                         
74      74          BANGALORE-PE-13       2         229 230                                                     
75      75          BANGALORE-PE-14       2         231 232                                                     
76      76          BANGALORE-PE-15       2         233 234                                                     
77      77          BANGALORE-PE-16       2         235 236                                                     
78      78          BANGALORE-PP-02       1         237                                                         
79      79          BANGALORE-PP-03       1         238                                                         
80      80          BANGALORE-PP-04       19        239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257
81      81          BANGALORE-PP-05       15        258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 
82      82          BANGALORE-PP-06       23        273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295
83      83          BANGALORE-PP-07       29        296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324
84      84          BANGALORE-VRR-02      1         325                                                         
85      85          BANKURA-PE-01         2         326 327                                                     
86      86          BAREILLY-PE-01        3         328 329 330                                                 
87      87          BAREILLY-PE-02        4         331 332 333 334                                             
88      88          BASTI-PE-01           2         335 336                                                     
89      89          BELAPUR-PE-01         3         337 338 339                                                 
90      90          BELGAUM-PE-02         2         340 341                                                     
91      91          BELGAUM-PE-03         3         342 343 344                                                 
92      92          BELLARY-PE-01         3         345 346 347                                                 
93      93          BERHAMPORE-PE-01      2         348 349                                                     
94      94          BERHAMPUR-PE-01       2         350 351                                                     
95      95          BERHAMPUR-PE-02       2         352 353                                                     
96      96          BHAGALPUR-PE-01       2         354 355                                                     
97      97          BHAGALPUR-PE-03       2         356 357                                                     
98      98          BHAGALPUR-PP-01       18        358 359 360 361 362 363 364 365 366 367 368 369 370 371 372 373 374 375
99      99          BHANDARA-PE-01        2         376 377                                                     
100     100         BHARUCH-PE-01         2         378 379                                                     
101     101         BHATINDA-PE-01        2         380 381                                                     
102     102         BHATINDA-PP-01        14        382 383 384 385 386 387 388 389 390 391 392 393 394 395     
103     103         BHAVNAGAR-PE-01       2         396 397                                                     
104     104         BHILWARA-PE-01        2         398 399                                                     
105     105         BHOPAL-GSMPE-01       2         400 401                                                     
106     106         BHOPAL-GSMPE-02       2         402 403                                                     
107     107         BHOPAL-PE-02          2         404 405                                                     
108     108         BHOPAL-PE-03          2         406 407                                                     
109     109         BHOPAL-PE-04          2         408 409                                                     
110     110         BHOPAL-PE-05          2         410 411                                                     
111     111         BHOPAL-PE-06          2         412 413                                                     
112     112         BHOPAL-PP-02          28        414 415 416 417 418 419 420 421 422 423 424 425 426 427 428 429 430 431 432 433 434 435 436 437 438 439 440 441
113     113         BHUBANESWAR-GSMPE-01  2         442 443                                                     
114     114         BHUBANESWAR-GSMPE-02  2         444 445                                                     
115     115         BHUBANESWAR-GSMPE-03  2         446 447                                                     
116     116         BHUBANESWAR-PE-03     1         448                                                         
117     117         BHUBANESWAR-PE-04     1         449                                                         
118     118         BHUBANESWAR-PE-05     2         450 451                                                     
119     119         BHUBANESWAR-PE-06     2         452 453                                                     
120     120         BHUBANESWAR-PP-02     29        454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 473 474 475 476 477 478 479 480 481 482
121     121         BHUJ-PE-01            2         483 484                                                     
122     122         BHUJ-PE-02            2         485 486                                                     
123     123         BIJAPUR-PE-01         2         487 488                                                     
124     124         BIKANER-PE-01         3         489 490 491                                                 
125     125         BIKANER-PE-02         2         492 493                                                     
126     126         BILASPUR-PE-02        3         494 495 496                                                 
127     127         BILASPUR-PE-03        3         497 498 499                                                 
128     128         BIRBHUM-PE-01         2         500 501                                                     
129     129         BOKARO-PE-01          1         502                                                         
130     130         BONGAIGAON-PE-01      2         503 504                                                     
131     131         BONGAIGAON-PE-02      2         505 506                                                     
132     132         BURDWAN-PE-01         2         507 508                                                     
133     133         CALICUT-GSMPE-01      2         509 510                                                     
134     134         CALICUT-GSMPE-02      2         511 512                                                     
135     135         CALICUT-PE-02         2         513 514                                                     
136     136         CALICUT-PE-03         2         515 516                                                     
137     137         CALICUT-PP-02         26        517 518 519 520 521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 538 539 540 541 542
138     138         CHANDIGARH-GSMPE-03   2         543 544                                                     
139     139         CHANDIGARH-GSMPE-04   2         545 546                                                     
140     140         CHANDIGARH-GSMPE-05   2         547 548                                                     
141     141         CHANDIGARH-GSMPE-06   2         549 550                                                     
142     142         CHANDIGARH-GSMPE-07   2         551 552                                                     
143     143         CHANDIGARH-GSMPE-08   2         553 554                                                     
144     144         CHANDIGARH-GSMPE-09   2         555 556                                                     
145     145         CHANDIGARH-MCR-01     2         557 558                                                     
146     146         CHANDIGARH-PE-01      1         559                                                         
147     147         CHANDIGARH-PE-02      3         560 561 562                                                 
148     148         CHANDIGARH-PE-03      3         563 564 565                                                 
149     149         CHANDIGARH-PE-05      2         566 567                                                     
150     150         CHANDIGARH-PE-06      2         568 569                                                     
151     151         CHANDIGARH-PP-02      1         570                                                         
152     152         CHANDIGARH-PP-03      45        571 572 573 574 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 596 597 598 599 600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615
153     153         CHANDIGARH-PP-04      38        616 617 618 619 620 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 640 641 642 643 644 645 646 647 648 649 650 651 652 653
154     154         CHANDRAPUR-PE-01      2         654 655                                                     
155     155         CHANDRAPUR-PE-02      2         656 657                                                     
156     156         CHAPRA-PE-01          2         658 659                                                     
157     157         CHENNAI-GSMPE-01      2         660 661                                                     
158     158         CHENNAI-GSMPE-02      2         662 663                                                     
159     159         CHENNAI-GSMPE-03      2         664 665                                                     
160     160         CHENNAI-GSMPE-04      2         666 667                                                     
161     161         CHENNAI-IGW-04        1         668                                                         
162     162         CHENNAI-IGW-05        1         669                                                         
163     163         CHENNAI-IGWPE-04      2         670 671                                                     
164     164         CHENNAI-IGWPE-05      2         672 673                                                     
165     165         CHENNAI-IRR-02        2         674 675                                                     
166     166         CHENNAI-IXP-01        1         676                                                         
167     167         CHENNAI-MCR-01        2         677 678                                                     
168     168         CHENNAI-MCR-02        2         679 680                                                     
169     169         CHENNAI-PE-02         1         681                                                         
170     170         CHENNAI-PE-06         2         682 683                                                     
171     171         CHENNAI-PE-07         2         684 685                                                     
172     172         CHENNAI-PE-08         2         686 687                                                     
