S.NO    City_Id     City_Name             Degree    Adjacent_Vertices                                           
1       1           ADILABAD-PE-02        3         317 501 618                                                 
2       2           AGARTALA-PE-02        1         281                                                         
3       3           AGARTALA-PP-01        2         281 410                                                     
4       4           AGRA-PE-02            2         7 525                                                       
5       5           AGRA-PE-03            2         7 526                                                       
6       6           AGRA-PE-04            2         7 532                                                       
7       7           AGRA-PP-02            22        4 5 6 29 32 33 87 250 283 285 339 359 361 372 373 437 438 458 460 461 523 524
8       8           AHMEDABAD-GSMPE-01    2         20 645                                                      
9       9           AHMEDABAD-GSMPE-02    2         20 645                                                      
10      10          AHMEDABAD-GSMPE-03    2         20 645                                                      
11      11          AHMEDABAD-MCR-01      1         20                                                          
12      12          AHMEDABAD-MCR-02      2         20 482                                                      
13      13          AHMEDABAD-PE-04       2         20 483                                                      
14      14          AHMEDABAD-PE-05       2         20 645                                                      
15      15          AHMEDABAD-PE-06       1         20                                                          
16      16          AHMEDABAD-PE-07       2         20 483                                                      
17      17          AHMEDABAD-PE-08       2         20 645                                                      
18      18          AHMEDABAD-PE-09       2         20 645                                                      
19      19          AHMEDABAD-PP-01       1         20                                                          
20      20          AHMEDABAD-PP-02       43        8 9 10 11 12 13 14 15 16 17 18 19 45 46 100 103 112 121 122 216 254 262 322 339 363 456 457 480 481 532 574 575 585 587 588 643 644 645 678 681 682 683 684
21      21          AHMEDNAGAR-PE-01      2         574 575                                                     
22      22          AHMEDNAGAR-PE-02      4         216 502 574 639                                             
23      23          AIZAWL-PE-01          2         281 633                                                     
24      24          AJMER-PE-02           2         339 363                                                     
25      25          AJMER-PE-03           2         339 363                                                     
26      26          AKOLA-PE-01           2         216 501                                                     
27      27          ALAPPUZHA-PE-01       2         137 245                                                     
28      28          ALAPPUZHA-PE-02       2         245 673                                                     
29      29          ALLAHABAD-PE-02       3         7 438 689                                                   
30      30          ALLAHABAD-PE-03       5         359 437 438 525 689                                         
31      31          ALMORA-PE-01          3         204 438 461                                                 
32      32          ALWAR-PE-02           3         7 339 525                                                   
33      33          ALWAR-PE-03           3         7 339 525                                                   
34      34          AMARAVATI-PE-01       2         216 501                                                     
35      35          AMARAVATI-PE-02       2         216 501                                                     
36      36          AMBALA-GSMPE-01       3         42 152 153                                                  
37      37          AMBALA-GSMPE-02       2         42 152                                                      
38      38          AMBALA-MCR-01         1         42                                                          
39      39          AMBALA-PE-02          2         42 152                                                      
40      40          AMBALA-PE-03          2         42 152                                                      
41      41          AMBALA-PE-04          2         42 153                                                      
42      42          AMBALA-PP-01          23        36 37 38 39 40 41 147 148 152 153 201 295 296 346 352 377 378 440 523 524 595 598 625
43      43          AMRITSAR-PE-02        2         152 346                                                     
44      44          AMRITSAR-PE-03        2         152 346                                                     
45      45          ANAND-PE-02           2         20 645                                                      
46      46          ANAND-PE-03           2         20 645                                                      
47      47          ANANTAPUR-PE-02       1         83                                                          
48      48          ANANTAPUR-PE-03       4         82 83 185 425                                               
49      49          ANGUL-PE-01           2         120 197                                                     
50      50          ARAH-PE-01            2         98 553                                                      
51      51          ASANSOL-PE-01         1         229                                                         
52      52          AURANGABAD-PE-02      3         216 482 574                                                 
53      53          AURANGABAD-PE-03      3         216 483 574                                                 
54      54          AZAMGARH-PE-01        3         265 438 689                                                 
55      55          BALASORE-PE-01        3         120 197 412                                                 
56      56          BALASORE-PE-02        2         120 197                                                     
57      57          BANGALORE-GSMPE-01    2         82 83                                                       
58      58          BANGALORE-GSMPE-02    2         82 83                                                       
59      59          BANGALORE-IGW-04      1         61                                                          
60      60          BANGALORE-IGW-05      1         62                                                          
61      61          BANGALORE-IGWPE-04    2         59 80                                                       
62      62          BANGALORE-IGWPE-05    2         60 81                                                       
63      63          BANGALORE-MCR-01      1         82                                                          
64      64          BANGALORE-MCR-02      2         82 83                                                       
65      65          BANGALORE-PE-02       1         83                                                          
66      66          BANGALORE-PE-03       1         82                                                          
67      67          BANGALORE-PE-04       1         83                                                          
68      68          BANGALORE-PE-05       2         82 83                                                       
69      69          BANGALORE-PE-06       2         82 83                                                       
70      70          BANGALORE-PE-07       1         82                                                          
71      71          BANGALORE-PE-08       1         83                                                          
72      72          BANGALORE-PE-11       1         82                                                          
73      73          BANGALORE-PE-12       1         83                                                          
74      74          BANGALORE-PE-13       2         82 83                                                       
75      75          BANGALORE-PE-14       2         82 83                                                       
76      76          BANGALORE-PE-15       2         82 83                                                       
77      77          BANGALORE-PE-16       2         82 83                                                       
78      78          BANGALORE-PP-02       1         80                                                          
79      79          BANGALORE-PP-03       1         81                                                          
80      80          BANGALORE-PP-04       19        61 78 81 82 137 182 190 244 301 317 411 449 480 501 540 574 618 697 704
81      81          BANGALORE-PP-05       15        62 79 80 83 137 183 190 244 301 317 425 444 481 502 618     
82      82          BANGALORE-PP-06       23        48 57 58 63 64 66 68 69 70 72 74 75 76 77 80 84 211 447 488 626 658 690 691
83      83          BANGALORE-PP-07       29        47 48 57 58 64 65 67 68 69 71 73 74 75 76 77 81 91 293 299 300 379 448 487 488 602 604 627 657 674
84      84          BANGALORE-VRR-02      1         82                                                          
85      85          BANKURA-PE-01         2         229 412                                                     
86      86          BAREILLY-PE-01        3         204 438 461                                                 
87      87          BAREILLY-PE-02        4         7 204 438 461                                               
88      88          BASTI-PE-01           2         265 438                                                     
89      89          BELAPUR-PE-01         3         482 483 575                                                 
90      90          BELGAUM-PE-02         2         301 449                                                     
91      91          BELGAUM-PE-03         3         83 301 317                                                  
92      92          BELLARY-PE-01         3         301 317 425                                                 
93      93          BERHAMPORE-PE-01      2         229 412                                                     
94      94          BERHAMPUR-PE-01       2         120 607                                                     
95      95          BERHAMPUR-PE-02       2         120 607                                                     
96      96          BHAGALPUR-PE-01       2         98 553                                                      
97      97          BHAGALPUR-PE-03       2         98 553                                                      
98      98          BHAGALPUR-PP-01       18        50 96 97 128 199 221 229 255 294 380 411 462 485 486 547 553 593 633
99      99          BHANDARA-PE-01        2         501 502                                                     
100     100         BHARUCH-PE-01         2         20 645                                                      
101     101         BHATINDA-PE-01        2         102 153                                                     
102     102         BHATINDA-PP-01        14        101 152 252 253 274 295 296 339 346 524 543 544 610 640     
103     103         BHAVNAGAR-PE-01       2         20 588                                                      
104     104         BHILWARA-PE-01        2         339 678                                                     
105     105         BHOPAL-GSMPE-01       2         112 322                                                     
106     106         BHOPAL-GSMPE-02       2         112 322                                                     
107     107         BHOPAL-PE-02          2         112 322                                                     
108     108         BHOPAL-PE-03          2         112 322                                                     
109     109         BHOPAL-PE-04          2         112 322                                                     
110     110         BHOPAL-PE-05          2         112 322                                                     
111     111         BHOPAL-PE-06          2         112 322                                                     
112     112         BHOPAL-PP-02          28        20 105 106 107 108 109 110 111 283 284 285 297 320 321 322 327 328 359 480 481 501 524 582 600 601 614 616 680
113     113         BHUBANESWAR-GSMPE-01  2         120 197                                                     
114     114         BHUBANESWAR-GSMPE-02  2         120 197                                                     
115     115         BHUBANESWAR-GSMPE-03  2         120 197                                                     
116     116         BHUBANESWAR-PE-03     1         120                                                         
117     117         BHUBANESWAR-PE-04     1         120                                                         
118     118         BHUBANESWAR-PE-05     2         120 197                                                     
119     119         BHUBANESWAR-PE-06     2         120 197                                                     
120     120         BHUBANESWAR-PP-02     29        49 55 56 94 95 113 114 115 116 117 118 119 182 183 194 195 196 197 212 410 411 501 502 582 593 605 606 607 704
121     121         BHUJ-PE-01            2         20 588                                                      
122     122         BHUJ-PE-02            2         20 588                                                      
123     123         BIJAPUR-PE-01         2         301 317                                                     
124     124         BIKANER-PE-01         3         339 346 363                                                 
125     125         BIKANER-PE-02         2         339 363                                                     
